"Código do Produto (60)","Tipo (Produto/Servico)","Nome do Produto (120)",Fornecedor,"ID Fornecedor","Marca (25)","Estoque Mínimo","Estoque Máximo","Estoque Atual","Unidade (06)","Produto Variado (Sim/Não)","Valor Venda (Tabela Padrão)","Valor Custo",Peso,"Peso Liq.",ICMS,IPI,PIS,COFINS,"Unidade tributável","Código Benefício Fiscal","Código CEST","NCM (8)","Origem (0 a 8)","Numero da ordem","Código de Barras (GTIN-8,12,13,14)","Tipo Class. (Fiscal)",Observações,"ID Categoria","ID Subcategoria","Situação (Ativo/Inativo)",Tamanho,"Localização no Estoque"
002424,Produto,"5W30 HELIX ULTRA ECT C2 DIESEL CX 12X","STOP-LUB MT PECAS AUTOMOTIVAS LTDA",39574505,,"0,00","0,00","9,00",l,Não,"84,99","84,99","0,00","0,00","0,00","0,00","0,00","0,00",,,,27101932,0,,5011987043978,07,,347054,,Ativo,,
000731,Produto,"80W90 GL5 TRANSMISSAO AXLE 7","STOP-LUB MT PECAS AUTOMOTIVAS LTDA",39574505,,"0,00","0,00","5,00",l,Não,"85,90","85,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,27101932,0,,7891165022241,07,,347054,,Ativo,,
7498,Produto,"ABRAC RSF BORBOLETA 1POL INOX BESTFER","TORK FERRAMENTAS E UTILIDADES LTDA",38321485,,"0,00","0,00","1,00",un,Não,"5,06","3,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,73269090,0,,,,,377846,,Ativo,,
7499,Produto,"ABRAC RSF BORBOLETA 3/4POL INOX BESTFER","TORK FERRAMENTAS E UTILIDADES LTDA",38321485,,"0,00","0,00","2,00",un,Não,"2,80","2,80",,,,,,,,,,73269090,0,,,,,377846,,Ativo,,
3585,Produto,"ABRAC RSF INCA 1/2X3/4 (13X19) 9,5MM","TORK FERRAMENTAS E UTILIDADES LTDA",38321485,,"0,00","0,00","0,00",un,Não,"3,38","2,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,73269090,0,,7899432205700,,,377846,,Ativo,,
00017,Produto,"ABRACADEIRA ELET ZINCADA D CUNHA   3 4","MMH MATERIAIS DE CONSTRUCAO LTDA",37624399,,"0,00","0,00","55,00",pc,Não,"6,84","2,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,73269090,0,,,,,377846,,Ativo,,
00018,Produto,"ABRACADEIRA ELET ZINCADA D CUNHA  1","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","39,00",un,Não,"6,70","2,98","0,00","0,00","0,00","0,00","0,00","0,00",,,,73269090,0,,,,,377846,,Ativo,,
00033,Produto,"ABRACADEIRA ELET ZINCADA U  1","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","13,00",pc,Não,"2,20","0,98","0,00","0,00","0,00","0,00","0,00","0,00",,,,73269090,0,,,,,377846,,Ativo,,
22521,Produto,"ABRACADEIRA ELETRODUTO PVC TOP ABB-15 3 4","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","24,00",un,Não,"1,60","0,75","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7895310016406,,,377846,,Ativo,,
18284,Produto,"ABRACADEIRA ELETRODUTO PVC TOP ABR-15 3 4","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","26,00",un,Não,"1,23","0,76","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7895310007589,,,377846,,Ativo,,
